"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.915963625E0,-4.908293152E-1,8.336015167E0,3.451522522E0
1.925729625E0,1.029858398E-1,8.434510345E0,3.720962219E0
1.935494625E0,4.216731262E-1,8.604556732E0,3.949087830E0
1.945290625E0,5.475613403E-1,8.957522736E0,3.933969269E0
1.955056625E0,1.772314453E-1,9.282047882E0,3.575913849E0
1.964852625E0,-1.451980591E-2,9.818681946E0,3.599115601E0
1.974618625E0,8.337661743E-2,9.736802216E0,3.684737549E0
1.984415625E0,-2.844085693E-2,9.420360260E0,3.559448090E0
1.994180625E0,1.336720276E-1,9.439969482E0,3.504512329E0
2.003945625E0,2.477348328E-1,9.445657654E0,3.515289917E0
2.013742625E0,-1.540296936E-1,9.337133331E0,3.517385559E0
2.023507625E0,-8.472381592E-2,9.131760406E0,3.526366882E0
2.033303625E0,4.553530884E-1,8.932375031E0,3.444636841E0
2.043069625E0,1.021775208E0,8.713081055E0,3.327280884E0
2.052834625E0,1.288370819E0,8.494236145E0,3.055296478E0
2.062631625E0,1.391356659E0,8.275540924E0,3.005001068E0
2.072396625E0,1.586550751E0,8.056995392E0,2.886896667E0
2.082192625E0,1.832339630E0,8.238268433E0,2.523153076E0
2.091958625E0,1.946701813E0,8.187224579E0,2.361040192E0
2.101725625E0,2.008223877E0,7.911497955E0,2.600392456E0
2.111520625E0,2.277813263E0,7.826175385E0,3.159030762E0
2.121285625E0,2.598296814E0,7.841293945E0,3.347189484E0
2.131081625E0,2.800226898E0,7.931855621E0,3.161425781E0
2.140847625E0,3.197650452E0,8.386609955E0,3.061134338E0
2.150613625E0,3.976929932E0,8.494086456E0,3.062930603E0
2.160410625E0,4.532424774E0,8.297096100E0,2.864293671E0
2.170176625E0,4.986879730E0,8.386759644E0,2.376009064E0
2.179971625E0,5.372178497E0,8.463100891E0,2.071093140E0
2.189736625E0,5.521268463E0,8.694519653E0,1.628164215E0
2.199503625E0,6.143823853E0,8.701255646E0,1.520388336E0
2.209299625E0,6.632407837E0,8.856183472E0,1.545685730E0
2.219064625E0,7.047943726E0,9.082512817E0,1.847907257E0
2.228839625E0,7.185058594E0,9.259594574E0,2.623294830E0
2.238625625E0,7.563920746E0,9.312584381E0,3.240311737E0
2.248391625E0,7.528145142E0,9.164841614E0,3.429518280E0
2.258187625E0,7.292535095E0,9.078620911E0,3.576512604E0
2.267953625E0,7.403005371E0,9.057065735E0,3.574267273E0
2.277718625E0,7.390730896E0,9.114695892E0,3.646866302E0
2.287493625E0,7.467072144E0,9.281299438E0,3.725003815E0
2.297280625E0,7.339687042E0,9.418563995E0,3.537892914E0
2.307076625E0,6.895410919E0,9.481732635E0,3.256777496E0
2.316843625E0,6.501430206E0,9.668993225E0,3.088377686E0
2.326609625E0,6.111790466E0,9.674681396E0,3.015778656E0
2.336384625E0,5.634882202E0,9.719737701E0,2.808609467E0
2.346159625E0,5.065466309E0,9.753417664E0,2.782114563E0
2.355935625E0,4.888085175E0,9.725725250E0,2.763253784E0
2.365731625E0,5.099745026E0,9.632169800E0,2.513722687E0
2.375497625E0,5.026397552E0,9.408385162E0,2.251617737E0
2.385293625E0,4.743485870E0,9.100026398E0,2.202070770E0
2.395059625E0,4.681215363E0,8.864116974E0,2.305056610E0
2.404844625E0,4.662354584E0,8.630003815E0,2.254761200E0
2.414620625E0,4.382436676E0,8.346343689E0,2.294728088E0
