"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.076168646E1,-2.148182831E0,3.708837433E0,9.016200714E0
5.077148246E1,-2.143392792E0,3.701652374E0,9.053772583E0
5.078124846E1,-2.117496643E0,3.740571442E0,9.016649780E0
5.079101446E1,-2.085463257E0,3.738026733E0,9.000633087E0
5.080077946E1,-2.058219910E0,3.763174438E0,9.041049042E0
5.081057646E1,-2.113455048E0,3.822750549E0,9.060358887E0
5.082034146E1,-2.143841858E0,3.841611328E0,9.067244568E0
5.083010646E1,-2.197729797E0,3.850143585E0,9.147328033E0
5.083990246E1,-2.167043610E0,3.878584442E0,9.213640137E0
5.084966946E1,-2.163002014E0,3.926335144E0,9.208251343E0
5.085943446E1,-2.112856293E0,4.003724213E0,9.312883759E0
5.086919946E1,-2.040706329E0,4.041894836E0,9.392967224E0
5.087899546E1,-2.034569092E0,4.007316742E0,9.227112122E0
5.088876246E1,-2.095193024E0,3.962410126E0,9.197922821E0
5.089852746E1,-2.148482208E0,4.039350128E0,9.120533752E0
5.090829346E1,-2.280058594E0,4.142485657E0,8.930578766E0
5.091808846E1,-2.324216766E0,4.224664764E0,8.807684326E0
5.092785446E1,-2.357896729E0,4.305646362E0,8.821605377E0
5.093762046E1,-2.390229492E0,4.363575897E0,8.912017365E0
5.094741746E1,-2.479443970E0,4.459526367E0,8.904832306E0
5.095716546E1,-2.548450470E0,4.520599365E0,8.876990204E0
5.096694046E1,-2.383792877E0,4.668042755E0,8.859476624E0
5.097671346E1,-2.194736023E0,4.757406921E0,8.698261871E0
5.098650946E1,-2.164199524E0,4.710105286E0,8.544830933E0
5.099627446E1,-2.294877777E0,4.676724701E0,8.648864594E0
5.100604046E1,-2.416724396E0,4.770429840E0,8.616232452E0
5.101580646E1,-2.631677399E0,4.921016693E0,8.350085907E0
5.102557946E1,-2.740052032E0,5.116959229E0,8.122409363E0
5.103536846E1,-2.824177094E0,5.286406860E0,7.857160950E0
5.104513346E1,-2.872676239E0,5.363346863E0,7.620353394E0
5.105489946E1,-2.908002777E0,5.431604919E0,7.436086578E0
5.106469546E1,-2.985840912E0,5.489983521E0,7.133565674E0
5.107445446E1,-3.050057373E0,5.585335236E0,6.956034851E0
5.108422646E1,-3.119213562E0,5.736820221E0,6.786736908E0
5.109402246E1,-3.245999908E0,5.779481506E0,6.918163605E0
5.110378846E1,-3.321293335E0,5.861510925E0,7.002737732E0
5.111355346E1,-3.406017151E0,5.857020264E0,7.026687927E0
5.112331946E1,-3.440146179E0,5.895041199E0,7.056326294E0
5.113311546E1,-3.465742950E0,5.884712677E0,7.110363922E0
5.114286546E1,-3.472329254E0,5.884562988E0,7.152725830E0
5.115264646E1,-3.488795013E0,5.827980652E0,7.283254395E0
5.116241246E1,-3.502266998E0,5.806126099E0,7.418872375E0
5.117220846E1,-3.587888947E0,5.729934540E0,7.517068176E0
5.118197546E1,-3.672762451E0,5.620961151E0,7.552544403E0
5.119173846E1,-3.714974670E0,5.514382782E0,7.763156433E0
5.120153646E1,-3.775149536E0,5.592969360E0,7.903564453E0
5.121130146E1,-3.720812531E0,5.752986603E0,7.692952423E0
5.122106746E1,-3.760480042E0,5.863157501E0,7.407346344E0
5.123086346E1,-3.758085022E0,5.933960266E0,7.082521820E0
