"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.391384292E0,2.864161432E-1,-3.894663230E-2,-2.851549983E-1
2.402068292E0,3.036544919E-1,-8.540650830E-3,-1.818400323E-1
2.412728292E0,3.543216884E-1,-3.422854468E-3,-8.866935223E-2
2.423410292E0,3.847838938E-1,-7.925445586E-2,4.358468205E-2
2.434091292E0,3.696837425E-1,-2.293769866E-1,1.750348657E-1
2.444772292E0,3.236645460E-1,-4.257315397E-1,2.495637089E-1
2.455454292E0,2.736588418E-1,-5.171272755E-1,2.646203041E-1
2.466135292E0,2.234726846E-1,-4.810910225E-1,2.725283206E-1
2.476816292E0,1.772187650E-1,-3.714914322E-1,2.731781602E-1
2.487497292E0,1.485297531E-1,-2.506725192E-1,2.590423226E-1
2.498162292E0,1.257427782E-1,-1.544509232E-1,2.143930942E-1
2.508838292E0,1.020056084E-1,-8.774626255E-2,1.611881405E-1
2.519544292E0,7.305483520E-2,-3.288282081E-2,1.774177998E-1
2.530216292E0,1.586818881E-2,-7.502552867E-2,2.425173223E-1
2.540902292E0,-5.689034238E-3,-1.388561726E-1,2.816282213E-1
2.551577292E0,-1.723376475E-2,-1.856889725E-1,2.671033740E-1
2.562235292E0,-8.524441160E-3,-1.799150109E-1,1.879079342E-1
2.572915292E0,1.844263077E-2,-1.348726898E-1,7.082568109E-2
2.583597292E0,8.916527778E-2,-2.590973489E-2,-1.257790327E-1
2.594278292E0,1.340676546E-1,9.767404944E-2,-2.721789777E-1
2.604959292E0,1.712045521E-1,1.421313137E-1,-3.163464963E-1
2.615640292E0,1.856227666E-1,1.462197900E-1,-2.921517193E-1
2.626332292E0,1.968065649E-1,1.456021070E-1,-2.350549847E-1
2.637006292E0,2.020058632E-1,1.608399153E-1,-1.681494564E-1
2.647697292E0,1.943507195E-1,1.748235226E-1,-7.797026634E-2
2.658365292E0,1.657779366E-1,1.541861594E-1,2.212810330E-2
2.669046292E0,1.254777759E-1,8.900485188E-2,8.822160959E-2
2.679727292E0,8.011348546E-2,2.227349393E-2,1.178538054E-1
2.690408292E0,2.350507304E-2,-2.652733587E-2,1.062472165E-1
2.701090292E0,1.363273337E-2,-2.449374646E-2,6.740874052E-2
2.711770292E0,4.861654714E-2,2.623973973E-2,5.369505659E-2
2.722421292E0,1.225019619E-1,1.144478917E-1,5.055226013E-2
2.733102292E0,2.125064135E-1,2.531818151E-1,4.850935191E-2
2.743806292E0,2.891967893E-1,4.199184775E-1,5.029779673E-2
2.754466292E0,3.178338110E-1,5.344682932E-1,6.350785494E-2
2.765146292E0,3.054219782E-1,5.795655251E-1,5.517800152E-2
2.775827292E0,2.897863984E-1,5.915144086E-1,4.684415460E-2
2.786508292E0,3.243555427E-1,5.267180800E-1,-1.203807071E-2
2.797189292E0,4.037590325E-1,4.093309939E-1,-1.627647281E-1
2.807871292E0,4.487917423E-1,2.963727713E-1,-3.009359241E-1
2.818552292E0,4.077987671E-1,2.396695316E-1,-4.332242012E-1
2.829233292E0,2.949188352E-1,1.488544196E-1,-5.428524017E-1
2.839914292E0,2.007429451E-1,-7.170712948E-2,-6.228362322E-1
2.850595292E0,1.857368350E-1,-2.473665774E-1,-6.423550844E-1
2.861269292E0,2.342691123E-1,-3.001534045E-1,-5.881795883E-1
2.871957292E0,3.023281395E-1,-1.786117256E-1,-5.413143635E-1
2.882633292E0,3.470258415E-1,1.686852574E-1,-5.900797844E-1
2.893306292E0,3.647389412E-1,5.034340620E-1,-6.166538596E-1
2.903970292E0,3.735590577E-1,7.368561625E-1,-5.592656732E-1
2.914652292E0,3.638747334E-1,8.184316754E-1,-6.187034249E-1
2.925333292E0,2.985825539E-1,7.843917012E-1,-7.859952450E-1
2.936014292E0,1.663507521E-1,7.065861225E-1,-9.197383523E-1
2.946695292E0,-3.956379369E-2,4.884968996E-1,-9.554633498E-1
2.957376292E0,-2.608402669E-1,9.412271529E-2,-9.194158912E-1
2.968057292E0,-4.407322705E-1,-2.926542759E-1,-7.633146644E-1
2.978739292E0,-5.319736004E-1,-6.415947676E-1,-4.791241288E-1
2.989404292E0,-5.681914091E-1,-9.695819020E-1,-1.273525208E-1
3.000101292E0,-6.119050980E-1,-1.212747097E0,2.793755531E-1
3.010782292E0,-6.775414944E-1,-1.499023557E0,7.082027793E-1
3.021446292E0,-7.878426313E-1,-1.928075433E0,1.158043623E0
3.032123292E0,-8.452858329E-1,-2.250123024E0,1.533182383E0
3.042825292E0,-8.366409540E-1,-2.487056971E0,1.827361345E0
3.053476292E0,-8.444868922E-1,-2.483134747E0,1.883442402E0
3.064157292E0,-8.678164482E-1,-2.217477322E0,1.705091000E0
3.074838292E0,-8.690302968E-1,-1.832867861E0,1.480385184E0
3.085519292E0,-7.977071404E-1,-1.553215981E0,1.147644281E0
3.096217292E0,-7.084283829E-1,-1.374796152E0,8.474486470E-1
3.106884292E0,-6.274027228E-1,-1.314153314E0,5.520724058E-1
3.117563292E0,-5.119847655E-1,-1.243980885E0,1.309597939E-1
3.128244292E0,-3.905103803E-1,-1.072347403E0,-1.622952819E-1
3.138924292E0,-2.594585419E-1,-9.082673788E-1,-3.242098689E-1
3.149608292E0,-1.576096863E-1,-6.612003446E-1,-4.698807895E-1
3.160281292E0,-5.644237995E-2,-3.603063822E-1,-6.300861835E-1
3.170969292E0,9.812215716E-2,-2.993788105E-3,-7.311707735E-1
3.181650292E0,2.538302839E-1,2.983711064E-1,-7.690414190E-1
3.192331292E0,4.455323219E-1,6.775258780E-1,-8.096501231E-1
3.203012292E0,6.002411842E-1,1.109050751E0,-8.108394742E-1
3.213689292E0,6.710768938E-1,1.411965251E0,-7.771777511E-1
3.224354292E0,6.806510687E-1,1.572732925E0,-5.872123837E-1
3.235025292E0,6.024553180E-1,1.570876718E0,-3.064033389E-1
3.245706292E0,4.646368623E-1,1.482646108E0,-1.504097730E-1
3.256387292E0,3.255914748E-1,1.477827549E0,-1.671421677E-1
3.267068292E0,2.127437294E-1,1.454964638E0,-1.963562369E-1
3.277750292E0,9.560726583E-2,1.319270134E0,-3.942974284E-2
3.288445292E0,-9.026407450E-2,1.122919083E0,1.960805207E-1
3.299124292E0,-2.868449092E-1,8.695645928E-1,3.646960855E-1
3.309793292E0,-4.359169602E-1,6.408142447E-1,4.305752516E-1
3.320474292E0,-4.979193509E-1,6.120883226E-1,5.018198490E-1
3.331146292E0,-5.218164325E-1,4.963733554E-1,4.861218035E-1
3.341820292E0,-5.581755042E-1,3.713754714E-1,3.950850964E-1
3.352518292E0,-6.062822342E-1,2.512204051E-1,3.236582875E-1
3.363199292E0,-6.558530927E-1,2.098799348E-1,3.107659221E-1
3.373880292E0,-7.256858945E-1,8.875409514E-2,3.308652937E-1
3.384531292E0,-7.702094316E-1,2.795519494E-2,3.288487494E-1
3.395212292E0,-7.750638723E-1,6.397178769E-2,2.267024219E-1
3.405893292E0,-7.549133301E-1,1.168584302E-1,1.962380297E-2
3.416568292E0,-7.278641462E-1,1.799271554E-1,-3.323624730E-1
3.427271292E0,-6.776849031E-1,2.573786080E-1,-6.054700017E-1
3.437936292E0,-6.374956369E-1,3.323564231E-1,-6.727678180E-1
3.448630292E0,-6.420931816E-1,1.711245179E-1,-5.755352974E-1
3.459294292E0,-6.645265222E-1,-7.599066198E-2,-4.465621710E-1
3.469980292E0,-6.917967200E-1,-1.993874311E-1,-3.186055422E-1
3.480661292E0,-6.674497128E-1,-1.997836232E-1,-2.531466484E-1
3.491343292E0,-6.055601835E-1,-1.007451192E-1,-2.573616505E-1
3.502023292E0,-5.335735679E-1,4.742330313E-2,-2.713666856E-1
3.512705292E0,-4.888476431E-1,7.008866966E-2,-2.900897563E-1
3.523386292E0,-4.646344483E-1,4.133624025E-3,-3.135612607E-1
3.534067292E0,-4.440200031E-1,-7.549249381E-2,-3.564842343E-1
3.544718292E0,-4.308506548E-1,-1.431263983E-1,-4.212200940E-1
3.555414292E0,-4.054410160E-1,-2.051047832E-1,-4.875249267E-1
3.566078292E0,-3.275545537E-1,-1.874663681E-1,-5.493574142E-1
3.576769292E0,-2.284853458E-1,-3.307493776E-2,-5.928992033E-1
3.587442292E0,-1.486714035E-1,4.640223458E-2,-6.156181693E-1
3.598123292E0,-1.068861410E-1,1.686402708E-1,-5.842860937E-1
3.608804292E0,-7.803921402E-2,2.770181894E-1,-5.625877380E-1
3.619486292E0,-2.862214111E-2,3.353909850E-1,-5.545622110E-1
3.630167292E0,6.681565195E-2,3.494919538E-1,-4.971903265E-1
3.640848292E0,1.154439896E-1,4.131115675E-1,-4.380233586E-1
3.651529292E0,1.404989958E-1,4.505521357E-1,-3.883619010E-1
3.662210292E0,1.844670027E-1,4.820710719E-1,-3.547357917E-1
3.672891292E0,2.252205461E-1,4.878671169E-1,-3.113645017E-1
3.683565292E0,2.442111224E-1,4.443601072E-1,-2.422760427E-1
3.694254292E0,2.229417711E-1,3.523409665E-1,-2.032018751E-1
3.704935292E0,1.680293828E-1,2.779502273E-1,-1.905226558E-1
3.715585292E0,1.050347835E-1,1.937242448E-1,-1.631580591E-1
3.726267292E0,4.414855689E-2,1.052793190E-1,-3.844639286E-2
3.736948292E0,9.129334358E-4,7.011468709E-2,1.287362128E-1
3.747629292E0,-1.177218184E-2,4.382788762E-2,2.688043118E-1
3.758310292E0,-2.034115978E-2,1.964922622E-2,3.431113064E-1
3.768991292E0,-3.091931902E-2,-9.321328253E-2,3.576936722E-1
3.779672292E0,-3.944038600E-2,-2.062757313E-1,3.369554877E-1
3.790353292E0,-5.984484404E-2,-1.796195507E-1,3.420755565E-1
3.801039292E0,-9.177547693E-2,-1.936477572E-1,3.399712443E-1
3.811726292E0,-1.055942774E-1,-2.652044296E-1,3.059525192E-1
3.822397292E0,-1.018097922E-1,-3.390970528E-1,2.461765409E-1
3.833078292E0,-1.077997535E-1,-4.281712174E-1,1.390202790E-1
3.843759292E0,-1.088820398E-1,-4.465201795E-1,1.477503218E-2
3.854440292E0,-1.057720408E-1,-3.958105445E-1,-1.093507335E-1
3.865122292E0,-8.868964761E-2,-2.598598003E-1,-1.678012758E-1
3.875803292E0,-6.494961679E-2,-1.492038071E-1,-1.752339005E-1
3.886453292E0,-2.346014604E-2,7.391996216E-3,-1.377717704E-1
3.897134292E0,2.663878910E-2,8.000794053E-2,-3.112550080E-2
3.907816292E0,9.446265548E-2,2.651655488E-2,5.448339507E-2
