"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.400731417E0,2.117662239E1,-3.822461700E1,6.124934673E0
2.411410417E0,2.115848160E1,-3.823851395E1,6.100847721E0
2.422094417E0,2.153092384E1,-3.798284531E1,6.388145447E0
2.432775417E0,2.153092384E1,-3.798284531E1,6.388145447E0
2.443456417E0,2.153753090E1,-3.799262238E1,6.307215214E0
2.454136417E0,2.155714226E1,-3.799321365E1,6.236263752E0
2.464807417E0,2.159252548E1,-3.798876953E1,6.140185356E0
2.475499417E0,2.159252548E1,-3.798876953E1,6.140185356E0
2.486180417E0,2.166928291E1,-3.798696518E1,5.875204086E0
2.496862417E0,2.163191605E1,-3.798218918E1,6.041440010E0
2.507543417E0,2.164281082E1,-3.800058365E1,5.884724617E0
2.518224417E0,2.163935471E1,-3.802767944E1,5.720083237E0
2.528905417E0,2.162144089E1,-3.806409454E1,5.542878628E0
2.539576417E0,2.159233475E1,-3.810976791E1,5.338749409E0
2.550267417E0,1.890100670E1,-4.093408966E1,7.056281090E0
2.560949417E0,1.890100670E1,-4.093408966E1,7.056281090E0
2.571630417E0,1.873446083E1,-4.112450790E1,6.358758926E0
2.582299417E0,1.909325790E1,-4.110595703E1,5.327872276E0
2.592992417E0,1.909325790E1,-4.110595703E1,5.327872276E0
2.603672417E0,1.876957893E1,-4.132050323E1,4.791373253E0
2.614354417E0,1.852175713E1,-4.147150040E1,4.438158035E0
2.625005417E0,1.828189278E1,-4.161620331E1,4.062275887E0
2.635686417E0,1.805863953E1,-4.175062943E1,3.661714554E0
2.646367417E0,1.785659981E1,-4.187195587E1,3.243230820E0
2.657048417E0,1.766577339E1,-4.198377228E1,2.814353943E0
2.667735417E0,1.745861435E1,-4.209491730E1,2.419046402E0
2.678414417E0,1.726988220E1,-4.219406891E1,2.012197495E0
2.689092417E0,1.726988220E1,-4.219406891E1,2.012197495E0
2.699775417E0,1.685897064E1,-4.239036179E1,1.212347984E0
2.710454417E0,1.685897064E1,-4.239036179E1,1.212347984E0
