"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.193986417E0,8.150550842E-1,9.490713959E0,9.900411987E-1
2.203752417E0,6.454577637E-1,9.491013336E0,9.455836487E-1
2.213535417E0,4.870870972E-1,9.507628784E0,9.352551270E-1
2.223343417E0,3.740721130E-1,9.566606140E0,8.604107666E-1
2.233108417E0,1.827699280E-1,9.575587463E0,8.128097534E-1
2.242904417E0,2.829116821E-2,9.539063416E0,7.607180786E-1
2.252700417E0,7.843688965E-2,9.562414856E0,6.640191650E-1
2.262466417E0,9.310638428E-2,9.720486145E0,7.381150818E-1
2.272262417E0,-1.092727661E-2,9.896370392E0,7.216493225E-1
2.282059417E0,-7.035369873E-2,9.894574127E0,6.767427063E-1
2.291854417E0,-9.550140381E-2,9.902208252E0,7.171586609E-1
2.301620417E0,-3.427871704E-2,9.973909149E0,6.809339905E-1
2.311416417E0,-8.382568359E-2,9.989925842E0,4.769082642E-1
2.321200417E0,-2.372566223E-1,9.978998566E0,4.212240601E-1
2.330987417E0,-2.600093079E-1,9.965526581E0,6.511459351E-1
2.340775417E0,-2.721340942E-1,9.719588013E0,8.327183533E-1
2.350570417E0,-2.368075562E-1,9.412875824E0,9.713301086E-1
2.360336417E0,-2.189945984E-1,9.316027222E0,1.085991669E0
2.370132417E0,-2.797682190E-1,9.421857147E0,1.100810852E0
2.379928417E0,-4.086502075E-1,9.657018127E0,1.018332367E0
2.389704417E0,-4.652325439E-1,9.649384003E0,9.440867615E-1
2.399490417E0,-5.686674500E-1,9.575737152E0,8.779243469E-1
2.409286417E0,-5.584886169E-1,9.459878082E0,9.370513916E-1
2.419052417E0,-4.589456177E-1,9.372609558E0,1.081051941E0
2.428849417E0,-3.698808289E-1,9.394613800E0,1.125659180E0
2.438644417E0,-1.752854919E-1,9.309889984E0,1.126856689E0
2.448429417E0,3.742218018E-2,9.333840179E0,1.084494781E0
2.458206417E0,2.215393066E-2,9.474846954E0,1.082698517E0
2.468002417E0,-1.362167358E-2,9.530082092E0,9.958790588E-1
2.477798417E0,4.041595459E-3,9.518256683E0,9.174421692E-1
2.487564417E0,-6.137237549E-2,9.238638153E0,8.973838806E-1
2.497360417E0,-9.415420532E-2,8.981472931E0,1.065783691E0
2.507145417E0,-5.912704468E-2,8.685238953E0,1.287772064E0
2.516922417E0,1.930984497E-2,8.462202759E0,1.458716583E0
2.526718417E0,6.212081909E-2,8.457113342E0,1.632804565E0
2.536514417E0,5.014572144E-2,8.489745483E0,1.811532898E0
2.546280417E0,-2.514770508E-2,8.417894897E0,2.050585785E0
2.556076417E0,2.993774414E-2,8.297545166E0,2.320175171E0
2.565866417E0,-4.969665527E-2,8.202343140E0,2.424957275E0
2.575637417E0,-6.541397095E-2,8.162825317E0,2.424358521E0
2.585434417E0,-2.174977112E-1,8.206235046E0,2.378104706E0
2.595199417E0,-2.077679443E-1,8.276888123E0,2.498005371E0
2.604995417E0,8.966354370E-2,8.342451782E0,2.869981842E0
2.614792417E0,2.716850281E-1,8.292755127E0,3.037782898E0
2.624569417E0,2.477348328E-1,8.178692322E0,3.060086517E0
2.634353417E0,1.775308228E-1,8.131091309E0,3.047812042E0
2.644149417E0,-1.107696533E-2,8.078550568E0,2.926564178E0
2.653915417E0,-1.210981750E-1,8.130193176E0,2.749183044E0
2.663711417E0,-5.179229736E-2,8.189020844E0,2.700384521E0
2.673477417E0,1.179547119E-1,8.242609406E0,2.754272461E0
2.683285417E0,3.189866638E-1,8.444240112E0,2.888692932E0
2.693070417E0,5.209167480E-1,8.697962494E0,2.842439117E0
2.702835417E0,6.810836792E-1,8.539591827E0,2.873724060E0
2.712631417E0,6.526428223E-1,8.389753418E0,3.221750336E0
2.722410417E0,5.854325867E-1,8.441845093E0,3.421734467E0
2.732207417E0,6.816824341E-1,8.546028442E0,3.369942169E0
2.741978417E0,6.843768311E-1,8.454718323E0,3.254681854E0
2.751767417E0,7.987390137E-1,8.359366608E0,3.226540375E0
2.761564417E0,1.025218048E0,8.322692871E0,3.355422363E0
2.771346417E0,1.031804352E0,8.469986572E0,3.629652100E0
2.781139417E0,1.062789917E0,8.546327820E0,3.688180389E0
2.790930417E0,1.134640503E0,8.453071747E0,3.319048004E0
2.800699417E0,1.179547119E0,8.381370850E0,2.932701416E0
2.810494417E0,1.071471863E0,8.560847626E0,3.087329865E0
2.820265417E0,1.065035248E0,8.877139893E0,3.289259949E0
2.830056417E0,1.886976013E0,8.916807404E0,3.504811707E0
2.839833417E0,2.603835297E0,9.238787842E0,3.684887238E0
2.849622417E0,2.556383972E0,9.364526367E0,3.368744659E0
2.859403417E0,2.337239685E0,8.745862885E0,2.792892151E0
2.869186417E0,2.265838165E0,7.982899475E0,2.642005920E0
2.878982417E0,1.880090332E0,7.681875458E0,2.856659546E0
2.888778417E0,2.198178864E0,7.635471954E0,2.794838104E0
2.898544417E0,2.469714203E0,7.509883118E0,3.200644226E0
2.908332417E0,2.203268280E0,7.471113739E0,3.337310028E0
2.918114417E0,2.012265472E0,7.225624237E0,2.897524567E0
2.927902417E0,2.150128784E0,7.030729523E0,2.747835846E0
2.937698417E0,2.026186523E0,7.254813538E0,3.008443909E0
2.947464417E0,2.231409760E0,7.285050659E0,3.068169708E0
2.957260417E0,1.776056671E0,7.279961243E0,3.185226288E0
2.967056417E0,1.334325256E0,7.310797119E0,3.101699982E0
2.976817417E0,9.599537659E-1,7.190746765E0,3.087030487E0
2.986618417E0,5.677693176E-1,7.306905212E0,3.151246948E0
2.996383417E0,1.171314240E0,8.160579987E0,3.872447205E0
3.006179417E0,3.053200836E0,9.056766357E0,4.127965851E0
3.015976417E0,3.211870880E0,9.529633026E0,4.619244232E0
3.025742417E0,3.121309204E0,9.569001160E0,4.799469452E0
3.035537417E0,2.839595032E0,9.770033112E0,4.684209137E0
3.045333417E0,2.831362152E0,1.030951126E1,4.690346375E0
3.055099417E0,2.938988342E0,1.087892715E1,4.508773956E0
3.064895417E0,2.908900909E0,1.114327744E1,4.716092834E0
3.074691417E0,3.498375092E0,1.101155136E1,5.458399200E0
3.084457417E0,4.038152618E0,1.076142151E1,5.548960876E0
3.094244458E0,4.069287872E0,1.047626450E1,5.430108032E0
3.104040458E0,4.324357452E0,1.001312759E1,5.509293365E0
3.113806458E0,4.671186218E0,9.773925018E0,5.783523102E0
3.123603458E0,5.044060822E0,9.742640076E0,5.906118164E0
3.133398458E0,5.414390717E0,9.750274200E0,5.917195129E0
3.143164458E0,5.619763641E0,9.818532257E0,5.881718903E0
3.152960458E0,5.773344269E0,9.964179382E0,5.572761383E0
3.162726458E0,6.006110229E0,1.018182678E1,5.568570099E0
3.172522458E0,5.956413574E0,1.060514648E1,5.562283173E0
3.182318458E0,5.817801819E0,1.069091812E1,5.495072937E0
3.192084458E0,5.817652130E0,1.050575317E1,5.373525696E0
3.201880458E0,5.863905945E0,1.014709900E1,5.321284332E0
3.211645458E0,5.851930847E0,9.865833893E0,5.456752625E0
3.221441458E0,5.942642212E0,1.032298325E1,5.212161255E0
3.231238458E0,5.951324158E0,1.071322174E1,4.964127045E0
3.241003458E0,5.792803802E0,1.066771637E1,4.802762604E0
3.250799458E0,5.594466248E0,1.054991135E1,4.901257782E0
3.260595458E0,5.473517761E0,1.033645523E1,5.071004791E0
3.270361458E0,5.346581726E0,1.017119888E1,5.046306152E0
3.280157458E0,5.161865845E0,1.030861313E1,5.113965454E0
3.289923458E0,4.970413971E0,1.035501663E1,5.116809540E0
3.299719458E0,4.791685638E0,1.032163605E1,4.966372375E0
3.309515458E0,4.614454193E0,1.015024246E1,4.944368134E0
3.319301458E0,4.452490997E0,9.924661560E0,4.934788055E0
3.329077458E0,4.153862000E0,9.764344940E0,4.939727783E0
3.338843458E0,3.895199890E0,9.816735992E0,4.989723816E0
3.348640458E0,3.783981171E0,9.688752136E0,4.862488403E0
3.358435458E0,3.677103424E0,9.535770264E0,4.611460419E0
3.368200458E0,3.627107391E0,9.536369019E0,4.466262360E0
3.377997458E0,3.671864319E0,9.721983032E0,4.584666138E0
3.387762458E0,3.781436462E0,9.922565918E0,4.656367035E0
3.397558458E0,3.879482574E0,9.657167816E0,4.332889709E0
3.407355458E0,3.880380707E0,9.256600800E0,4.155059509E0
3.417120458E0,3.842509460E0,8.940009155E0,4.155508575E0
3.426916458E0,3.663781128E0,8.686137085E0,4.016447754E0
3.436690458E0,3.372037811E0,9.029523010E0,4.031416626E0
3.446478458E0,2.989732819E0,9.909093933E0,3.787274323E0
3.456245458E0,2.634521484E0,1.017119888E1,3.445684662E0
3.466040458E0,2.594404907E0,9.964329071E0,3.401077423E0
3.475836458E0,2.379900970E0,9.689051514E0,3.530857544E0
