"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.548185792E0,1.501766014E1,-2.945218468E1,-2.524062729E1
2.558886792E0,1.501766014E1,-2.945218468E1,-2.524062729E1
2.569538792E0,1.521923637E1,-2.955026627E1,-2.500414276E1
2.580219792E0,1.528195381E1,-2.960866165E1,-2.489658356E1
2.590900792E0,1.527163124E1,-2.964356041E1,-2.486136436E1
2.601595792E0,1.517133427E1,-2.964151573E1,-2.492512894E1
2.612257792E0,1.500008297E1,-2.960420227E1,-2.507268333E1
2.622943792E0,1.500008297E1,-2.960420227E1,-2.507268333E1
2.633625792E0,1.465617180E1,-2.944107056E1,-2.546508980E1
2.644306792E0,1.452229214E1,-2.933953285E1,-2.565824890E1
2.654987792E0,1.444166279E1,-2.925997162E1,-2.579424667E1
2.665660792E0,1.442622948E1,-2.919805145E1,-2.587293243E1
2.676322792E0,1.444814491E1,-2.914057159E1,-2.592544556E1
2.687000792E0,1.444814491E1,-2.914057159E1,-2.592544556E1
2.697681792E0,1.445768547E1,-2.905147171E1,-2.601995468E1
2.708363792E0,1.443963814E1,-2.904542542E1,-2.603672218E1
2.719044792E0,1.442486191E1,-2.906457901E1,-2.602353668E1
2.729741792E0,1.442209911E1,-2.910163116E1,-2.598362923E1
2.740412792E0,1.441665459E1,-2.916379547E1,-2.591686630E1
2.751087792E0,1.441665459E1,-2.916379547E1,-2.591686630E1
2.761768792E0,1.420053196E1,-2.930531883E1,-2.587651253E1
2.772449792E0,1.403767395E1,-2.934613800E1,-2.591907883E1
2.783112792E0,1.389177322E1,-2.939090919E1,-2.594694138E1
2.793785792E0,1.375947952E1,-2.946454811E1,-2.593391037E1
2.804462792E0,1.363914967E1,-2.955494308E1,-2.589458466E1
2.815144792E0,1.353232956E1,-2.964434242E1,-2.584839821E1
2.825825792E0,1.344037151E1,-2.972838593E1,-2.579981041E1
2.836506792E0,1.335515404E1,-2.982111931E1,-2.573696709E1
2.847187792E0,1.329286098E1,-2.993003845E1,-2.564260864E1
2.857868792E0,1.326732349E1,-3.005801582E1,-2.550577545E1
2.868548792E0,1.326245689E1,-3.020645142E1,-2.533235931E1
2.879230792E0,1.324125767E1,-3.036693573E1,-2.515092468E1
2.889912792E0,1.324125767E1,-3.036693573E1,-2.515092468E1
2.900593792E0,1.313920021E1,-3.067108154E1,-2.483338165E1
2.911249792E0,1.307762718E1,-3.080698395E1,-2.469729233E1
2.921955792E0,1.302757835E1,-3.093040085E1,-2.456915092E1
2.932606792E0,1.302757835E1,-3.093040085E1,-2.456915092E1
2.943287792E0,1.307765388E1,-3.111338806E1,-2.431014061E1
2.953968792E0,1.317805290E1,-3.118115616E1,-2.416868019E1
2.964649792E0,1.331133747E1,-3.124298668E1,-2.401530457E1
2.975330792E0,1.346491432E1,-3.130288887E1,-2.385111809E1
2.986011792E0,1.362149525E1,-3.136804962E1,-2.367596054E1
2.996693792E0,1.379841709E1,-3.143991089E1,-2.347735786E1
3.007368792E0,5.612240791E0,-3.303561401E1,-2.666986465E1
3.018049792E0,5.784543037E0,-3.310487366E1,-2.654689217E1
3.028729792E0,5.980304241E0,-3.317774200E1,-2.641220284E1
3.039417792E0,6.195108414E0,-3.324951172E1,-2.627206993E1
3.050068792E0,6.195108414E0,-3.324951172E1,-2.627206993E1
3.060749792E0,6.756577492E0,-3.343271637E1,-2.589851952E1
3.071430792E0,6.996402740E0,-3.352821732E1,-2.571070480E1
3.082111792E0,7.088885307E0,-3.361421204E1,-2.557271957E1
3.092792792E0,7.056508064E0,-3.370306015E1,-2.546450806E1
3.103473792E0,6.924097538E0,-3.378923035E1,-2.538654518E1
3.114150792E0,6.911458015E0,-3.377393723E1,-2.541033554E1
3.124822792E0,6.781590939E0,-3.375893784E1,-2.546519852E1
3.135517792E0,6.781590939E0,-3.375893784E1,-2.546519852E1
3.146190792E0,6.641065121E0,-3.374990845E1,-2.551415825E1
3.156879792E0,6.641065121E0,-3.374990845E1,-2.551415825E1
3.167561792E0,6.653575420E0,-3.382442093E1,-2.541202736E1
3.178211792E0,6.657624245E0,-3.387189865E1,-2.534764481E1
3.188892792E0,6.630631447E0,-3.389698792E1,-2.532116890E1
3.199573792E0,6.584419727E0,-3.389426041E1,-2.533687782E1
3.210255792E0,6.529629707E0,-3.387802505E1,-2.537274551E1
3.220936792E0,6.462834835E0,-3.385765076E1,-2.541700554E1
3.231617792E0,6.352653503E0,-3.385313416E1,-2.545077515E1
3.242298792E0,6.308026314E0,-3.383433151E1,-2.548685646E1
3.252964792E0,6.334181786E0,-3.382469559E1,-2.549316025E1
3.263659792E0,6.435307026E0,-3.384105301E1,-2.544608688E1
3.274343792E0,6.610202312E0,-3.386769104E1,-2.536568069E1
3.284997792E0,6.849421501E0,-3.388744354E1,-2.527567673E1
3.295704792E0,6.849421501E0,-3.388744354E1,-2.527567673E1
3.306353792E0,7.393364906E0,-3.395064926E1,-2.503646851E1
3.317036792E0,7.679080486E0,-3.402311707E1,-2.485140610E1
3.327717792E0,7.957668304E0,-3.409804916E1,-2.466032791E1
3.338398792E0,8.218926430E0,-3.415436554E1,-2.449615669E1
3.349079792E0,8.450395584E0,-3.419623184E1,-2.435860634E1
3.359760792E0,8.635549545E0,-3.423658752E1,-2.423667717E1
3.370440792E0,8.774091721E0,-3.428258133E1,-2.412162781E1
3.381117792E0,8.869908333E0,-3.433252335E1,-2.401531982E1
3.391798792E0,8.869908333E0,-3.433252335E1,-2.401531982E1
3.402468792E0,9.106157303E0,-3.440216446E1,-2.382649994E1
3.413166792E0,9.106157303E0,-3.440216446E1,-2.382649994E1
3.423817792E0,9.593675613E0,-3.434700012E1,-2.371451569E1
3.434498792E0,9.960817337E0,-3.424792480E1,-2.370642853E1
3.445179792E0,1.040690422E1,-3.407387543E1,-2.376553154E1
3.455860792E0,1.093290901E1,-3.381988525E1,-2.389183617E1
