"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.440953333E0,-2.119062901E0,3.316422105E-1,-2.844502211E0
1.451625333E0,-2.165318727E0,6.608086824E-2,-2.481590986E0
1.462310333E0,-2.184191942E0,-3.494930863E-1,-1.886679769E0
1.472987333E0,-2.050086498E0,-6.141626239E-1,-1.276232719E0
1.483678333E0,-1.747393131E0,-8.708124757E-1,-7.930013537E-1
1.494359333E0,-1.323770761E0,-1.043407917E0,-4.996634722E-1
1.505040333E0,-8.689700365E-1,-9.918915629E-1,-3.135133088E-1
1.515720333E0,-4.164350629E-1,-1.029611349E0,-8.484338224E-2
1.526403333E0,-3.626194550E-3,-1.075788260E0,7.487490773E-2
1.537084333E0,2.707198858E-1,-9.869475961E-1,4.639932513E-2
1.547765333E0,3.679201901E-1,-9.715489745E-1,-8.732464910E-2
1.558446333E0,2.076130807E-1,-9.993832707E-1,-3.801490366E-1
1.569097333E0,-1.091355756E-1,-1.055477619E0,-6.700674295E-1
1.579787333E0,1.284792740E-2,-6.419115663E-1,-8.960953951E-1
1.590466333E0,6.284984201E-2,-6.473425627E-1,-1.282496929E0
1.601148333E0,-2.928699367E-2,-1.563867629E-1,-1.329584599E0
1.611821333E0,-2.146533877E-1,1.552755237E-1,-1.383162379E0
1.622503333E0,-2.413228154E-1,-7.228972018E-2,-1.437912703E0
1.633184333E0,-2.833001018E-1,-8.845857531E-2,-1.370525122E0
1.643865333E0,-3.920494914E-1,-2.239610106E-1,-1.205170512E0
1.654546333E0,-4.091475010E-1,-5.187231302E-1,-1.065358281E0
1.665227333E0,-3.019672632E-1,-6.665464044E-1,-1.067931652E0
1.675908333E0,-1.589485854E-1,-6.849906445E-1,-1.426160693E0
1.686589333E0,3.099632077E-2,-6.422197819E-1,-1.910202384E0
1.697248833E0,3.953988254E-1,-3.734928966E-1,-2.019788980E0
1.707918833E0,5.875611305E-1,-4.215089083E-1,-1.967189193E0
1.718610833E0,8.854375482E-1,-5.286545753E-1,-1.847661972E0
1.729297833E0,1.197806120E0,-7.490093112E-1,-1.829454780E0
1.739972833E0,1.424861908E0,-1.106994987E0,-2.208488226E0
1.750653833E0,1.677752972E0,-1.798045874E0,-3.521776438E0
1.761334833E0,1.759670734E0,-2.453770876E0,-4.265936375E0
1.772016833E0,1.739578247E0,-3.551657677E0,-4.708858013E0
1.782697833E0,1.734365940E0,-4.542264938E0,-5.092173100E0
1.793378833E0,1.666164517E0,-5.230114937E0,-5.138494492E0
1.804029833E0,1.203544974E0,-5.706111908E0,-4.436526299E0
1.814720833E0,5.022484064E-1,-5.230039597E0,-3.574998140E0
1.825400833E0,-6.215371564E-2,-4.335084915E0,-2.729083776E0
1.836072833E0,-3.669671416E-1,-3.904686928E0,-2.330850124E0
1.846775833E0,-5.487145782E-1,-4.044430256E0,-2.626006126E0
1.857440833E0,-5.556603670E-1,-4.539309502E0,-3.297182560E0
1.868115833E0,-3.061660826E-1,-5.240721226E0,-3.947085381E0
1.878797833E0,5.105063319E-2,-6.125719547E0,-4.448680401E0
1.889478833E0,4.548217952E-1,-6.847109318E0,-4.607349873E0
1.900159833E0,8.074930310E-1,-7.146616936E0,-4.424144745E0
1.910840833E0,1.102963567E0,-7.211667538E0,-3.866357803E0
1.921521833E0,1.252437830E0,-7.273589134E0,-3.034312487E0
1.932190833E0,1.159636736E0,-6.992598057E0,-2.210145712E0
1.942872833E0,8.754028678E-1,-6.420778275E0,-1.608701944E0
1.953565833E0,5.990813375E-1,-6.110764980E0,-1.873068571E0
1.964246833E0,3.328413665E-1,-5.679452419E0,-2.724080324E0
1.974919833E0,1.359056830E-1,-5.316046238E0,-3.079328299E0
1.985608833E0,7.902163267E-2,-5.390469074E0,-2.887694120E0
1.996289833E0,-2.190215290E-1,-5.883709908E0,-2.785191774E0
2.006970833E0,-4.781223238E-1,-5.959381104E0,-3.025864124E0
2.017652833E0,-5.041648149E-1,-5.638083458E0,-3.310013533E0
2.028333833E0,-6.843180656E-1,-5.675347328E0,-3.312942982E0
2.039014833E0,-1.037001252E0,-5.479619980E0,-2.695370197E0
2.049674833E0,-1.392577767E0,-4.580509186E0,-1.733684540E0
2.060356833E0,-1.650864124E0,-3.789080143E0,-1.166345835E0
2.071027833E0,-1.881499767E0,-2.907478571E0,-1.116503358E0
2.081708833E0,-1.961339951E0,-1.983194709E0,-1.283710480E0
2.092406833E0,-1.824663639E0,-1.506595373E0,-1.652234435E0
2.103084833E0,-1.664772511E0,-9.357929826E-1,-2.104887009E0
2.113751833E0,-1.482810140E0,-2.360266447E-1,-2.203430891E0
2.124433833E0,-1.178682446E0,-2.403289825E-1,-1.932920337E0
2.135114833E0,-9.882872701E-1,-6.805047989E-1,-1.862510562E0
2.145795833E0,-1.033861876E0,-9.001849294E-1,-2.160478354E0
2.156476833E0,-1.142533779E0,-1.312802076E0,-2.562658310E0
2.167158833E0,-9.828332663E-1,-1.750162244E0,-2.731690645E0
2.177827833E0,-6.595913172E-1,-2.006018639E0,-2.733120203E0
2.188520833E0,-3.151540458E-1,-2.095808744E0,-2.698070288E0
2.199201833E0,-1.691840440E-1,-2.074448109E0,-2.422136068E0
2.209882833E0,-1.988724321E-1,-1.686248541E0,-1.851708889E0
2.220557833E0,-2.187500000E-1,-1.120690227E0,-1.177718520E0
2.231238833E0,-1.277177930E-1,-7.311772704E-1,-5.197651982E-1
2.241919833E0,3.656775355E-1,-1.887981445E-1,2.439427562E-2
2.252601833E0,1.638127685E0,6.191860437E-1,8.315958828E-2
2.263281833E0,1.548411369E0,-3.771683276E-1,-5.901373625E-1
2.273969833E0,2.333831489E-1,-6.149353385E-1,-5.102137327E-1
2.284635833E0,-6.653149128E-1,-8.559821844E-1,-9.528639913E-2
2.295308833E0,-9.950882196E-1,-8.000627160E-1,2.711293697E-1
2.305982833E0,-1.040638685E0,-7.483699322E-1,4.141019881E-1
2.316663833E0,-9.621303082E-1,-7.791017294E-1,3.937261403E-1
2.327344833E0,-7.875462174E-1,-8.565158844E-1,3.077265322E-1
2.338025833E0,-5.903242230E-1,-7.540659308E-1,3.020254970E-1
2.348706833E0,-4.406130910E-1,-3.046367168E-1,4.250643551E-1
2.359390833E0,-3.629739285E-1,3.063917756E-1,5.089225173E-1
2.370070833E0,-3.301667273E-1,6.843595505E-1,4.931882620E-1
2.380749833E0,-3.489385545E-1,8.677227497E-1,4.631840289E-1
2.391431833E0,-4.018566310E-1,9.021816254E-1,4.285096824E-1
2.402118833E0,-4.690597951E-1,8.594515324E-1,4.340672791E-1
2.412788833E0,-5.585055351E-1,8.178305626E-1,4.763864875E-1
2.423474833E0,-6.631214023E-1,7.715762854E-1,4.117558300E-1
2.434156833E0,-7.337082624E-1,6.218307018E-1,1.847429127E-1
2.444837833E0,-7.135944366E-1,3.886797428E-1,-8.718633652E-2
2.455518833E0,-6.312782764E-1,1.679937094E-1,-2.952753603E-1
2.466199833E0,-5.375054479E-1,-3.747235239E-2,-2.697747946E-1
2.476880833E0,-4.861104190E-1,-6.797726452E-2,-5.032878835E-3
2.487561833E0,-4.776165485E-1,5.544400588E-2,2.859254479E-1
2.498223833E0,-5.020582676E-1,1.406305283E-1,4.372257590E-1
2.508924833E0,-5.159481764E-1,1.570823044E-1,3.643676639E-1
2.519593833E0,-5.175652504E-1,3.323303163E-2,1.767929494E-1
2.530267833E0,-4.868911803E-1,-1.507943422E-1,7.764476538E-2
2.540937833E0,-4.414451420E-1,-2.168647051E-1,1.695709676E-1
2.551618833E0,-3.923138082E-1,-1.926254183E-1,3.771958053E-1
2.562299833E0,-3.497024477E-1,-1.006390378E-1,4.656899869E-1
2.572980833E0,-3.293209970E-1,-5.410961807E-2,4.083137810E-1
2.583661833E0,-3.500733972E-1,-1.042681262E-1,2.891993523E-1
2.594342833E0,-3.552609980E-1,-1.454331428E-1,1.942677945E-1
2.605023833E0,-2.656341493E-1,-1.086154655E-1,1.665469557E-1
2.615704833E0,-9.033346176E-2,5.606029928E-2,1.708988249E-1
2.626391833E0,1.610564291E-1,1.738764197E-1,1.317559481E-1
2.637064833E0,3.634737730E-1,2.239897102E-1,-1.525711361E-2
2.647751833E0,5.057612062E-1,1.857536137E-1,-2.140517235E-1
2.658429833E0,5.921759605E-1,1.128586307E-1,-3.270701468E-1
2.669110833E0,6.049144268E-1,1.078865156E-1,-3.686003089E-1
2.679792833E0,5.948090553E-1,1.801417917E-1,-3.537968397E-1
2.690473833E0,6.318780780E-1,3.023279011E-1,-3.187613785E-1
2.701153833E0,7.221720219E-1,4.116394818E-1,-3.220596910E-1
2.711835833E0,8.235329986E-1,5.353544950E-1,-3.984932005E-1
2.722516833E0,8.786988258E-1,6.262912750E-1,-4.988006353E-1
2.733197833E0,8.683529496E-1,6.563730240E-1,-5.582924485E-1
2.743878833E0,8.196586370E-1,6.691591144E-1,-5.443521738E-1
2.754538833E0,7.665277123E-1,7.055238485E-1,-4.706773758E-1
2.765218833E0,7.251131535E-1,8.087019324E-1,-3.374263644E-1
2.775900833E0,6.847857237E-1,9.217038155E-1,-2.041756809E-1
2.786573833E0,6.365721226E-1,9.768450856E-1,-8.916468173E-2
2.797254833E0,5.778722763E-1,1.004793167E0,1.740916818E-2
2.807935833E0,4.881062210E-1,1.033327818E0,1.036337987E-1
2.818616833E0,4.091554880E-1,1.093366385E0,1.082261577E-1
2.829297833E0,4.029828012E-1,1.129264712E0,-8.511909284E-3
2.839978833E0,4.406140745E-1,1.134902596E0,-1.744553447E-1
2.850659833E0,4.375676811E-1,1.172642827E0,-2.060233802E-1
2.861341833E0,3.659377098E-1,1.257646680E0,-1.515777260E-1
2.872026833E0,2.268471122E-1,1.312003374E0,-1.013253629E-1
2.882706833E0,9.402940422E-2,1.309971333E0,-8.282491565E-2
2.893396833E0,7.928358391E-3,1.225017071E0,-1.136246622E-1
2.904065833E0,7.404372841E-2,1.076013446E0,-1.936465353E-1
2.914746833E0,2.205343693E-1,8.103575110E-1,-3.160763085E-1
2.925427833E0,3.283902407E-1,5.037235618E-1,-4.235233963E-1
2.936109833E0,3.619071841E-1,1.974621564E-1,-4.778130054E-1
2.946790833E0,3.682644367E-1,-1.128344610E-1,-5.196366310E-1
2.957471833E0,3.647687435E-1,-2.873407602E-1,-5.782304406E-1
2.968152833E0,3.501732945E-1,-3.137705028E-1,-6.462630033E-1
