"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.663522696E1,-2.099321556E1,3.422044754E1,-2.767178535E0
6.664590896E1,-2.087051010E1,3.432717896E1,-2.340526581E0
6.665658996E1,-2.072126198E1,3.444393158E1,-1.912226677E0
6.666727096E1,-2.055593300E1,3.456549072E1,-1.446512222E0
6.667795696E1,-2.043047333E1,3.465735626E1,-9.352760315E-1
6.668863396E1,-2.037318611E1,3.470144272E1,-3.934717178E-1
6.669931496E1,-2.037655830E1,3.470133972E1,1.567277908E-1
6.670999596E1,-2.043539238E1,3.465975952E1,7.124528885E-1
6.672067696E1,-2.054413033E1,3.457910156E1,1.278977394E0
6.673135796E1,-2.069918060E1,3.446073914E1,1.847467422E0
6.674205396E1,-2.088781548E1,3.431232452E1,2.403194427E0
6.675274096E1,-2.109556770E1,3.414295197E1,2.940712929E0
6.676343196E1,-2.109556770E1,3.414295197E1,2.940712929E0
6.677411296E1,-2.165209579E1,3.369773483E1,3.880848885E0
6.678478996E1,-2.204231262E1,3.340000916E1,4.241181374E0
6.679548196E1,-2.246468544E1,3.308832169E1,4.462333679E0
6.680615696E1,-2.282670403E1,3.283391190E1,4.504168510E0
6.681683796E1,-2.299418259E1,3.273830795E1,4.345409393E0
6.682751896E1,-2.290874672E1,3.284028625E1,4.014519691E0
6.683819996E1,-2.264702225E1,3.307003021E1,3.591224670E0
6.684888096E1,-2.229009628E1,3.335892487E1,3.121760368E0
6.685956196E1,-2.189255333E1,3.366223907E1,2.642280579E0
6.687025696E1,-2.148210526E1,3.395913696E1,2.169704437E0
6.688092496E1,3.266661882E0,3.326723480E1,-2.217537308E1
6.689160596E1,3.266661882E0,3.326723480E1,-2.217537308E1
6.690230396E1,3.722540140E0,3.226356506E1,-2.354426003E1
6.691297696E1,3.802621365E0,3.171165848E1,-2.427010536E1
6.692364896E1,3.889636040E0,3.114971161E1,-2.497385597E1
6.693433096E1,4.040174484E0,3.059583092E1,-2.562614822E1
6.694501096E1,4.197630882E0,3.008736038E1,-2.619652939E1
6.695569296E1,4.308718681E0,2.965768814E1,-2.666428757E1
6.696640496E1,4.398988724E0,2.930618286E1,-2.703561401E1
6.697708596E1,4.445279598E0,2.901304817E1,-2.734246826E1
6.698776696E1,4.460073948E0,2.876368332E1,-2.760229111E1
6.699842596E1,2.900296688E0,2.837565994E1,-2.820529366E1
6.700913296E1,1.967082500E0,2.802099609E1,-2.863708878E1
6.701979296E1,1.967082500E0,2.802099609E1,-2.863708878E1
6.703048896E1,1.427374601E0,2.753793335E1,-2.913337326E1
6.704117296E1,1.427374601E0,2.753793335E1,-2.913337326E1
6.705185396E1,1.512394428E0,2.716137695E1,-2.948052025E1
6.706253496E1,1.530315399E0,2.694078827E1,-2.968132401E1
6.707321596E1,1.505329847E0,2.675747871E1,-2.984795380E1
6.708389696E1,1.422759533E0,2.660285950E1,-2.998987770E1
6.709457796E1,1.251231194E0,2.645992661E1,-3.012367821E1
6.710525896E1,9.706325531E-1,2.632178307E1,-3.025477028E1
6.711594096E1,5.674476624E-1,2.618870544E1,-3.038024902E1
6.712663696E1,-3.702437878E-1,2.595339966E1,-3.058454895E1
6.713730996E1,-3.702437878E-1,2.595339966E1,-3.058454895E1
6.714799696E1,-1.292815447E0,2.593046570E1,-3.057891846E1
6.715866496E1,-1.884666920E0,2.606735992E1,-3.043142319E1
6.716934596E1,-2.531636715E0,2.619228363E1,-3.027682114E1
6.718005796E1,-3.366980791E0,2.620336914E1,-3.018572235E1
6.719073896E1,-4.293083191E0,2.612964249E1,-3.013207626E1
6.720141996E1,-5.307077408E0,2.609580040E1,-2.999958229E1
6.721210196E1,-6.380187035E0,2.618451118E1,-2.971187210E1
6.722278296E1,-7.426486015E0,2.635574722E1,-2.931472015E1
6.723346396E1,-8.398689270E0,2.659157562E1,-2.883541489E1
6.724413096E1,-9.377627373E0,2.689446831E1,-2.824674606E1
6.725482596E1,-1.024745655E1,2.722649765E1,-2.761953735E1
6.726549496E1,-1.086869144E1,2.727126694E1,-2.733644485E1
6.727618796E1,-1.102462387E1,2.739513016E1,-2.714952087E1
6.728688396E1,-1.118233490E1,2.755631256E1,-2.692094231E1
6.729753796E1,-1.139465714E1,2.774627495E1,-2.663528252E1
6.730823196E1,-1.139465714E1,2.774627495E1,-2.663528252E1
6.731891296E1,-1.202976608E1,2.775206375E1,-2.634843445E1
6.732959396E1,-1.214968491E1,2.764147568E1,-2.640958595E1
6.734027496E1,-6.549427032E0,2.615061188E1,-2.858275795E1
6.735095096E1,-6.328513145E0,2.626551819E1,-2.852710915E1
6.736165596E1,-6.141912460E0,2.634526443E1,-2.849434662E1
6.737231896E1,-5.941415787E0,2.635802841E1,-2.852503967E1
6.738299996E1,-5.629824162E0,2.631798172E1,-2.862504196E1
6.739368296E1,-5.310884476E0,2.612112427E1,-2.886530113E1
6.740436396E1,-4.875100613E0,2.580614281E1,-2.922328949E1
6.741507396E1,-4.875100613E0,2.580614281E1,-2.922328949E1
6.742575496E1,-4.225411415E0,2.526625824E1,-2.979071045E1
6.743643596E1,-3.860638142E0,2.489724731E1,-3.014874840E1
6.744711696E1,-3.516898394E0,2.455931473E1,-3.046630859E1
6.745779896E1,-3.174147606E0,2.427039337E1,-3.073430252E1
6.746847196E1,-2.819108248E0,2.401619339E1,-3.096772003E1
6.747914296E1,-2.458650351E0,2.378551292E1,-3.117577744E1
6.748984196E1,-2.126075745E0,2.358974075E1,-3.134850311E1
6.750052296E1,-1.839849234E0,2.345274734E1,-3.146916580E1
