"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.632849417E0,-2.816542969E0,-8.900341644E0,5.014572144E-2
2.642615417E0,-2.370470581E0,-8.729846191E0,7.843688965E-2
2.652380417E0,-2.147733765E0,-8.519533539E0,4.700225830E-2
2.662146417E0,-2.186353455E0,-8.329279175E0,1.246907043E-1
2.671935417E0,-2.264191589E0,-8.356522522E0,1.731898499E-1
2.681708417E0,-2.382894745E0,-8.059689789E0,5.222639465E-1
2.691473417E0,-2.387385406E0,-8.819958801E0,5.025050354E-1
2.701239417E0,-2.531835022E0,-8.806935883E0,4.062551880E-1
2.711005417E0,-2.916235657E0,-9.026678925E0,8.656498718E-1
2.720771417E0,-3.191363525E0,-9.591903534E0,1.111588440E0
2.730536417E0,-3.395089874E0,-9.997410278E0,1.346150665E0
2.740301417E0,-3.209176483E0,-1.011326935E1,1.390907593E0
2.750098417E0,-3.089874573E0,-1.033870056E1,1.327738953E0
2.759863417E0,-3.100352783E0,-1.056233551E1,1.262774048E0
2.769629417E0,-3.481909332E0,-1.064032333E1,1.286275177E0
2.779395417E0,-3.971840515E0,-1.075827805E1,1.128353577E0
2.789160417E0,-4.261787567E0,-1.095227463E1,7.104226685E-1
2.798926417E0,-4.380041656E0,-1.134131561E1,1.356179810E-1
2.808691417E0,-4.427942047E0,-1.177705948E1,-4.846920776E-1
2.818458417E0,-4.427942047E0,-1.187016586E1,-9.199868774E-1
2.828253417E0,-4.200115814E0,-1.152453461E1,-1.041534119E0
2.838001417E0,-3.981420593E0,-1.085707260E1,-9.238787842E-1
2.847784417E0,-3.570375366E0,-1.020727386E1,-7.677534485E-1
2.857550417E0,-3.144211578E0,-9.922266541E0,-6.334826660E-1
2.867316417E0,-2.940784607E0,-9.821076965E0,-6.258485413E-1
2.877081417E0,-2.930456085E0,-9.579629059E0,-6.295907593E-1
2.886847417E0,-3.115471344E0,-9.237290955E0,-3.998185730E-1
2.896645417E0,-3.429218903E0,-8.819958801E0,-1.981878662E-1
2.906409417E0,-3.595223694E0,-8.355474701E0,-2.170486450E-2
2.916174417E0,-3.632945251E0,-8.039332123E0,5.942642212E-2
2.925940417E0,-3.484903107E0,-7.830366669E0,-3.053649902E-2
2.935705417E0,-3.318149872E0,-7.777376862E0,-1.318757629E-1
2.945479417E0,-3.075953522E0,-7.614964600E0,-4.810995483E-1
2.955250417E0,-3.053500214E0,-7.350015564E0,-4.477189636E-1
2.965033417E0,-3.232677612E0,-7.079528046E0,-2.761756897E-1
2.974798417E0,-3.915258179E0,-6.474785614E0,1.989363098E-1
2.984564417E0,-4.353995819E0,-5.989345093E0,8.014334106E-1
2.994322417E0,-4.560865631E0,-5.681884460E0,1.463806000E0
3.004091417E0,-4.880001984E0,-5.403762817E0,1.726659393E0
3.013880417E0,-5.321583710E0,-5.342091064E0,1.472338257E0
3.023629417E0,-5.425018616E0,-5.488786011E0,9.648934937E-1
3.033423417E0,-5.702840881E0,-5.356012115E0,9.894424438E-1
3.043192417E0,-5.684878235E0,-5.745801544E0,8.114625549E-1
3.052956417E0,-5.137167206E0,-5.885461121E0,8.231382751E-1
3.062704417E0,-4.317771149E0,-6.056405640E0,9.364526367E-1
3.072477417E0,-3.839815063E0,-6.318061523E0,1.219663696E0
3.082251417E0,-3.466940460E0,-6.626120911E0,1.601819000E0
3.092038417E0,-3.130889282E0,-7.041956177E0,2.241139526E0
3.101799417E0,-2.931503906E0,-6.982679443E0,3.044967957E0
3.111567417E0,-2.865940247E0,-7.422614594E0,3.348237305E0
3.121316417E0,-3.316203918E0,-9.114396515E0,1.792223053E0
3.131110417E0,-4.309089203E0,-1.259391083E1,-7.324269104E-1
3.140875417E0,-5.538782043E0,-1.554053329E1,-2.121837616E0
3.150641417E0,-6.787934418E0,-1.564666260E1,-1.714085541E0
3.160407417E0,-8.395291901E0,-1.619197861E1,-1.680555267E0
3.170173417E0,-9.796078949E0,-1.753573425E1,-1.782792664E0
3.179938417E0,-1.094329330E1,-1.809122910E1,-2.060165863E0
3.189703417E0,-1.147977768E1,-1.758737686E1,-1.167721710E0
3.199469417E0,-1.187645279E1,-1.848610794E1,1.028810577E0
3.209266417E0,-1.248927841E1,-1.969843689E1,2.456242218E0
3.219031417E0,-1.268567001E1,-1.915297119E1,3.893703003E0
3.228796417E0,-1.228285767E1,-1.926269302E1,5.667963409E0
3.238559417E0,-1.041279648E1,-1.969514374E1,6.593937836E0
3.248328417E0,-8.272846527E0,-1.948662735E1,5.463039551E0
3.258094417E0,-6.351591797E0,-1.881302811E1,3.517235870E0
3.267860417E0,-5.188360748E0,-1.794064224E1,3.506757660E0
3.277624417E0,-5.481600952E0,-1.567570221E1,3.082240448E0
3.287401417E0,-6.454278259E0,-1.311288162E1,1.212179260E0
3.297166417E0,-6.993007965E0,-1.072819061E1,-7.619155884E-1
3.306921417E0,-5.913901978E0,-8.737180939E0,-1.258283386E0
3.316717417E0,-4.509223022E0,-7.177424469E0,-1.181792450E0
3.326484417E0,-3.531755676E0,-5.604345703E0,-1.057401123E0
3.336249417E0,-2.031874695E0,-4.494104462E0,-8.054750061E-1
3.346014417E0,-3.888912964E-1,-3.434308319E0,-7.827223206E-1
3.355771417E0,7.710466003E-1,-2.283950500E0,-3.426374817E-1
3.365546417E0,1.122515717E0,-1.232387238E0,1.384620667E-1
3.375311417E0,8.226892090E-1,-5.882766724E-2,5.155279541E-1
3.385077417E0,1.796264648E-1,7.976911926E-1,8.244854736E-1
3.394842417E0,-1.631607056E-2,1.463207245E0,8.493338013E-1
3.404613417E0,3.008743286E-2,2.128423920E0,8.942404175E-1
3.414409417E0,-7.753875732E-2,2.527643738E0,9.999206543E-1
3.424170417E0,-4.197271729E-1,2.712958374E0,1.031504974E0
3.433935417E0,-5.658233643E-1,2.853516083E0,9.987231445E-1
3.443701417E0,-3.501219177E-1,2.426903229E0,1.351539459E0
3.453467417E0,3.728746033E-1,1.837129669E0,1.864373016E0
3.463232417E0,7.879614258E-1,1.315763855E0,1.989961853E0
3.472998417E0,8.011340332E-1,1.224154358E0,1.782193909E0
3.482794417E0,5.050497437E-1,9.584568787E-1,1.688039703E0
3.492560417E0,5.658233643E-2,5.602848816E-1,1.511556702E0
3.502325417E0,-5.450166321E-1,9.789642334E-2,1.292562103E0
3.512085417E0,-1.039588165E0,-4.543052673E-1,9.737251282E-1
3.521851417E0,-1.790127411E0,-1.116079102E0,9.560618591E-1
3.531617417E0,-2.302811279E0,-1.387165375E0,1.636846161E0
3.541382417E0,-3.036585388E0,-1.567091217E0,3.397484894E0
3.551153417E0,-3.469036102E0,-2.045196991E0,5.450166321E0
3.560950417E0,-3.242257690E0,-3.069816284E0,6.317013702E0
3.570715417E0,-3.044818268E0,-4.274810486E0,3.956572266E0
3.580489417E0,-4.777764587E0,-7.051985321E0,8.164022827E-1
3.590246417E0,-6.933731232E0,-1.148621429E1,-2.443818054E0
