,acc_phone_X,acc_phone_Y,acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,light_phone_Illuminance,press_phone_Millibars,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,label
20,2.560079047952148e+166,3.574755474551899e+168,1.7831306359029268e+168,-6.3081559707311825e+165,1.034912056892604e+166,-1.0063816981815167e+166,1.4,1022.019353,-0.2144792769234505,1.007634969235946,-0.1193059567921945,-0.0041400992293093,-0.0007792497388407,-0.0001012031667155,-8.425477744877785e-06,Walking
21,2.4521477115186165e+166,3.4197182157074072e+168,1.706511103641384e+168,-6.040814333957974e+165,9.917001831326402e+165,-9.634529085285992e+165,1.3,1022.096951,-0.3019035701781045,0.9620425149447028,-0.1136454025140657,-0.0044950391449616,-0.0007655351212117,-8.46150282675308e-05,-7.3358581370308595e-06,Walking
22,2.348740633193456e+166,3.271375277252133e+168,1.6331920768329502e+168,-5.784796642831021e+165,9.502966839415983e+165,-9.22357665124477e+165,1.3,1022.041367,-0.2374115167163139,0.9220574315016556,-0.1095117198831792,-0.0048244964628533,-0.0007435254748083,-6.81515802116899e-05,-5.965135251834175e-06,Walking
23,2.249668706793908e+166,3.129439973659772e+168,1.5630317783539186e+168,-5.539622503228392e+165,9.106253989784478e+165,-8.830174119320653e+165,0.9,1022.059918,-0.2575582291041213,0.8816858834237246,-0.105357485136611,-0.0051093632831259,-0.0007178417466585,-5.137786692266637e-05,-4.5652845294119615e-06,Walking
24,2.154750742478155e+166,2.993637767811584e+168,1.4958944723448284e+168,-5.304831999683727e+165,8.72613405968252e+165,-8.45356966496317e+165,0.3,1022.069076,-0.267032943311806,0.8432358882842361,-0.1017961385287612,-0.0053603250802056,-0.0006874999610896,-3.476170923729444e-05,-3.0706981062611494e-06,Walking
25,2.063813133384002e+166,2.863705762613404e+168,1.4316502095152569e+168,-5.0799848140643104e+165,8.361908819248878e+165,-8.093043754480251e+165,0.3,1022.053113,-0.2478798176856366,0.8072136428438413,-0.0978062028812893,-0.005587936065739,-0.0006529091476793,-1.8491854206249262e-05,-1.4860845832243008e-06,Walking
26,1.9766895364493842e+166,2.739392213485487e+168,1.3701745830858357e+168,-4.864659382706544e+165,8.012909703088526e+165,-7.747907761590368e+165,0.8,1022.088996,-0.2879186929354019,0.7713687311769668,-0.092681695322581,-0.0057869825897385,-0.000616085622512,-2.4689791826435283e-06,8.007989799052596e-08,Walking
27,1.8932205668019282e+166,2.620456060897678e+168,1.3113484949267996e+168,-4.658452090313096e+165,7.678496538711797e+165,-7.417502642853324e+165,1.1,1022.038613,-0.2295669048135937,0.7394007608559734,-0.0889718857743234,-0.0059641147462607,-0.0005746910952624,1.2686460882039467e-05,1.7500281800642004e-06,Walking
28,1.813253505131997e+166,2.5066664821538305e+168,1.2550579314704505e+168,-4.460976498989146e+165,7.358056329446179e+165,-7.101197669459345e+165,0.9,1022.042658,-0.2333600090088364,0.7072388425583684,-0.0855671938016211,-0.0061069707007378,-0.0005318767051862,2.7317181115932767e-05,3.3474610105777014e-06,Walking
29,1.736642017489477e+166,2.397802461659521e+168,1.2011937489922214e+168,-4.271862610865475e+165,7.0510020895297865e+165,-6.7983892129669905e+165,0.9,1022.074398,-0.2687865853637234,0.6756931721959089,-0.0817167521987981,-0.0062257365931752,-0.0004876681224342,4.127679316716632e-05,4.88303822204772e-06,Walking
30,1.6632458869692228e+166,2.2936523789360174e+168,1.1496514678716877e+168,-4.090756162823926e+165,6.756771729189151e+165,-6.5084995826865684e+165,0.9,1022.039406,-0.2281044198217813,0.6473276411947526,-0.0787489420610021,-0.0063278207693533,-0.0004405697574215,5.416830678592276e-05,6.438006673034624e-06,Walking
31,1.5929307567734773e+166,2.1940136136713085e+168,1.100331075460862e+168,-3.917317951905969e+165,6.474826987593884e+165,-6.230975912507771e+165,0.8,1022.058615,-0.2492996216611214,0.6186687618470982,-0.0754758152700218,-0.0064040371830429,-0.000393285391416,6.63285492593484e-05,7.862830568389212e-06,Walking
32,1.5255678841619534e+166,2.098692167125772e+168,1.0531368372024692e+168,-3.751223190047645e+165,6.20465241166708e+165,-5.9652890950678745e+165,0.8,1022.0312419999996,-0.217373757732933,0.5925318630754066,-0.0727030793609944,-0.0064657907157955,-0.0003442088169369,7.73874989106605e-05,9.250845191294266e-06,Walking
33,1.461033904821632e+166,2.0075022992359263e+168,1.0079771156555549e+168,-3.592160886844195e+165,5.945754378813191e+165,-5.710932761250186e+165,0.9,1022.034951,-0.2209414107136175,0.5666819333807898,-0.0695708641494482,-0.0065081591845772,-0.0002951597272585,8.756962561028221e-05,1.0503323022187372e-05,Walking
